business_id,sentiment,avg_review_rating,business_rating,review_count,name,city,log_review_count
--ZVrH2X2QXBFdCilbirsw,0.8107694444444444,4.722222222222222,4.5,32,Chris's Sandwich Shop,Ardmore,3.4965075614664802
-0TffRSXXIlBYVbb5AwfTg,0.861192144638404,4.342892768079801,4.5,1097,IndeBlue Modern Indian Food & Spirits,Philadelphia,7.001245622069476
-3725FZiIIYdwQtM4MKEIA,0.06086666666666667,1.8888888888888888,1.5,20,Domino's Pizza,Glen Mills,3.044522437723423
-3IOd5YntpkbK6RwT3HYtA,0.5771814516129032,3.806451612903226,3.5,179,Ice House Steaks & Pizza,Pottstown,5.19295685089021
-7GDqSUaXrpC8Ql7nDBxWA,0.7969326315789474,4.221052631578948,4.0,92,B2 Bluefin,Bala Cynwyd,4.532599493153256
-8gGD85_jZvapnmb3EvU3w,0.5269434782608695,2.9565217391304346,3.0,38,Lew's Seafood Takeout Shop,Glenside,3.6635616461296463
-97632CUoOkJ8x4AlkPJxQ,-0.17546,1.6,1.5,5,Abner's Pizza & Grill,Woodlyn,1.791759469228055
-ATiAtTikuGuqvaW2O6tNA,0.6628049668874172,3.4387417218543046,3.5,593,Marathon,Philadelphia,6.386879319362645
-CRjqZ4GxZ6lIa_qMj7-yw,0.3269516666666667,3.283333333333333,3.5,58,Spring Chinese Restaurant,Philadelphia,4.07753744390572
-FMI0_EhMjwXaAgHVGuG2Q,0.839463725490196,3.769607843137255,4.0,214,Route 6,Philadelphia,5.3706380281276624
-JStjL-8mRZq4ov4uI1FaQ,0.7248972222222222,4.037037037037037,4.0,96,Luberto's Brickoven Pizza,Dublin,4.574710978503383
-KncfNxXHo2DA46fR39K5w,0.6326428571428571,2.4285714285714284,3.0,10,Cantinho Brasileiro Restaurante,Philadelphia,2.3978952727983707
-LmhsdQproqCf5EQoD06rQ,0.8822800000000001,4.4,4.5,10,The Fat ChickeN,Philadelphia,2.3978952727983707
-MkngKKkTIVfnUbq2S1ucQ,0.7984044444444444,4.4,4.5,46,Square Pie,Philadelphia,3.8501476017100584
-NG3pA9LEXCxt0Fjd_aYYA,0.8923071428571429,4.392857142857143,4.5,45,Linda's Vegetarian Village Restaurant,Philadelphia,3.828641396489095
-OIUunijjcq_ZzyyQhPPFQ,0.8164269961977186,4.262357414448669,4.5,510,Zorba's Taverna,Philadelphia,6.236369590203704
-Or44IdY51Ukd618kikmtA,0.720819877675841,4.107033639143731,4.0,321,Federal Donuts,Philadelphia,5.7745515455444085
-S_B3PbeFbT0dPpqd0zQEw,0.57308,2.4,2.5,15,The Pale Horse Restaurant,West Chester,2.772588722239781
-UJ7ZTb3zfmqZogmy3fnGg,0.5719805447470817,2.964980544747082,3.0,318,Bellini,Philadelphia,5.765191102784844
-UgmhgFa6biagbAXEPpNhA,0.13907777777777777,2.3333333333333335,2.5,22,H. K. Golden Phoenix,Philadelphia,3.1354942159291497
-V0vIgo6196MDn_x3ZaYmA,0.5882651006711409,3.2684563758389262,3.5,146,La Creperie Cafe,Philadelphia,4.990432586778736
-ZzCVD9Ge7KCy4ffhYkGZQ,0.5888214285714286,4.071428571428571,4.0,29,Richman's Ice Cream & Burger,Glenside,3.4011973816621555
-a0kKyJPMw-8z5AjfQstTw,0.5891018867924528,3.811320754716981,4.0,52,Yummy 2,Clifton Heights,3.970291913552122
-d8B04ueyxADRutlcHYewQ,0.7015321212121212,3.993939393939394,4.0,157,Hickory Kitchen,Doylestown,5.062595033026967
-dQmz_R27erIuM5qR5jKIw,0.9133833333333333,4.0,4.0,5,Stacky's Sandwich Shop,Chester,1.791759469228055
-gJ3m24voBGR-8fS_hQN9A,0.8205883720930233,4.116279069767442,4.0,62,Vida & Comida,Ambler,4.143134726391533
-ka45SR1nuoxUU4eTamE_w,0.7827280000000001,4.44,4.5,58,Abington All Star Bagel,Abington,4.07753744390572
